#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 05 07 00 318 18.0 99.0 99.00 99.00 99.00 999 1020.3  11.3  12.9 999.0 99.0 99.00
2007 01 05 08 00 328 18.8 22.2 99.00 99.00 99.00 999 1020.5  11.2  12.9 999.0 99.0 99.00
2007 01 05 10 00 326 15.7 99.0 99.00 99.00 99.00 999 1020.7  10.8 999.0 999.0 99.0 99.00
2007 01 05 12 00 344 13.7 16.0 99.00 99.00 99.00 999 1021.7   9.8  12.8 999.0 99.0 99.00
2007 01 05 13 00 343 13.7 99.0 99.00 99.00 99.00 999 9999.0   9.8 999.0 999.0 99.0 99.00
2007 01 05 14 00 337 14.8 17.6 99.00 99.00 99.00 999 1022.4   9.7  12.6 999.0 99.0 99.00
2007 01 05 15 00 343 13.2 15.4  5.62 12.50  9.76 999 1023.1   9.1  12.6 999.0 99.0 99.00
2007 01 05 16 00 342 12.7 14.9  6.02 12.50 10.37 999 1024.1   8.9  12.6 999.0 99.0 99.00
2007 01 05 17 00 335 10.7 13.5  5.94 12.50 10.57 999 1025.0   9.1  12.5 999.0 99.0 99.00
2007 01 05 18 00 336 12.2 14.8  5.36 12.50  9.92 999 1025.5   8.9  12.6 999.0 99.0 99.00
2007 01 05 19 00 323  9.7 12.6  5.21 12.50  9.87 999 1025.4   9.7  12.8 999.0 99.0 99.00
2007 01 05 21 00 339 10.7 13.3 99.00 99.00 99.00 999 1024.1  10.5  12.8 999.0 99.0 99.00
2007 01 05 22 00 315  9.5 12.1  5.34 12.50 10.09 999 1024.5  11.0  12.9 999.0 99.0 99.00
2007 01 06 00 00 331 11.3 13.7  5.21 12.50  9.60 999 1025.7  11.7  12.9 999.0 99.0 99.00
2007 01 06 01 00 345  9.6 99.0 99.00 99.00 99.00 999 1026.4  12.5 999.0 999.0 99.0 99.00
2007 01 06 03 00 354 10.9 13.0  4.60 12.50  9.26 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 06 04 00   3 13.1 16.1 99.00 99.00 99.00 999 1027.5  11.6  12.8 999.0 99.0 99.00
2007 01 06 05 00 338 12.5 14.8  4.59 12.50  9.36 999 1027.6  11.3  12.6 999.0 99.0 99.00
2007 01 06 07 00 356  8.0 99.0 99.00 99.00 99.00 999 1028.1  11.1 999.0 999.0 99.0 99.00
2007 01 06 08 00 338 11.1 99.0 99.00 99.00 99.00 999 1028.1  11.0  12.6 999.0 99.0 99.00
2007 01 06 10 00 353 10.7 99.0 99.00 99.00 99.00 999 1028.0  11.3 999.0 999.0 99.0 99.00
2007 01 06 11 00 339 11.1 12.7 99.00 99.00 99.00 999 1027.6  11.2  12.5 999.0 99.0 99.00
2007 01 06 13 00 348 11.1 99.0 99.00 99.00 99.00 999 1028.3 999.0 999.0 999.0 99.0 99.00
2007 01 06 14 00 355 10.9 99.0 99.00 99.00 99.00 999 1027.9  11.3  12.5 999.0 99.0 99.00
2007 01 06 15 00 342 12.1 14.5 99.00 99.00 99.00 999 1027.7  10.9  12.5 999.0 99.0 99.00
2007 01 06 16 00 334 12.2 14.3  3.79 12.50  8.73 999 1028.1  10.7  12.5 999.0 99.0 99.00
2007 01 06 17 00 343 10.5 13.2  3.23 11.11  7.92 999 1028.5  11.4  12.5 999.0 99.0 99.00
2007 01 06 18 00 330 14.8 17.0  3.68 12.50  8.71 999 1028.6  11.5  12.5 999.0 99.0 99.00
2007 01 06 19 00 316 13.5 16.0  3.50 12.50  8.37 999 1027.7  11.7  12.6 999.0 99.0 99.00
2007 01 06 20 00 319 14.1 16.7  3.45 12.50  8.00 999 1026.3  11.8  12.6 999.0 99.0 99.00
2007 01 06 21 00 324 16.3 19.6  3.71 12.50  7.98 999 1025.5  12.0  12.6 999.0 99.0 99.00
2007 01 06 22 00 310 14.3 16.7  3.52 12.50  7.63 999 1025.6  11.5  12.6 999.0 99.0 99.00
2007 01 06 23 00 320 13.8 16.7  3.80 12.50  8.03 999 1025.1  11.7  12.6 999.0 99.0 99.00
2007 01 07 00 00 316 12.7 15.3  3.63 11.11  7.77 999 1025.1  11.8  12.6 999.0 99.0 99.00
2007 01 07 01 00 319 13.1 15.5  3.63 12.50  7.92 999 1025.1  12.1  12.6 999.0 99.0 99.00
2007 01 07 02 00 313 13.4 16.3 99.00 99.00 99.00 999 1024.8  12.1  12.6 999.0 99.0 99.00
2007 01 07 03 00 329 13.6 16.0  3.90 11.11  7.70 999 1024.2  13.9  12.6 999.0 99.0 99.00
2007 01 07 04 00 999 99.0 99.0  3.76 10.00  7.91 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 07 05 00 340  6.5 99.0 99.00 99.00 99.00 999 1026.1  13.9 999.0 999.0 99.0 99.00
2007 01 07 06 00 331 14.0 15.8 99.00 99.00 99.00 999 1025.6  12.9  12.8 999.0 99.0 99.00
2007 01 07 07 00 999 99.0 16.1  3.61 10.00  7.79 999 1024.8  12.9  12.8 999.0 99.0 99.00
2007 01 07 08 00 341  9.3 11.6  3.30 12.50  7.62 999 9999.0  14.4 999.0 999.0 99.0 99.00
2007 01 07 10 00 356  7.5  9.9 99.00 99.00 99.00 999 1025.6  13.6  12.6 999.0 99.0 99.00
2007 01 07 11 00 340  6.1 99.0  2.94 12.50  8.36 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 07 12 00 329  6.4  7.7 99.00 99.00 99.00 999 1025.8  13.7 999.0 999.0 99.0 99.00
2007 01 07 13 00 341  8.8 11.0 99.00 99.00 99.00 999 1025.6  14.2  12.6 999.0 99.0 99.00
2007 01 07 14 00 999 99.0 99.0  2.79 10.00  8.03 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 07 15 00 328  1.0  2.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2007 01 07 17 00 350  3.9  5.0  2.74 14.29  8.29 999 1028.0  13.3  12.5 999.0 99.0 99.00
2007 01 07 18 00  39  5.6  6.7  3.36 14.29  9.21 999 1028.5  13.4  12.5 999.0 99.0 99.00
2007 01 07 19 00  44  3.8  5.0  3.32 14.29  9.22 999 1028.2  13.7  12.5 999.0 99.0 99.00
2007 01 07 20 00 360  1.1  2.1  3.05 14.29  8.87 999 1027.3  14.1  12.6 999.0 99.0 99.00
2007 01 07 21 00 322  4.8  5.9  3.29 16.67  9.72 999 1026.6  13.4  12.8 999.0 99.0 99.00
2007 01 07 22 00 318  5.0  6.0  3.51 14.29  9.92 999 1025.6  14.7  12.6 999.0 99.0 99.00
2007 01 07 23 00 270  3.1  4.0  3.38 12.50  9.78 999 1025.1  13.6  12.6 999.0 99.0 99.00
