#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 04 04 50 343  4.5  5.4  0.82 12.12  5.70 320 1024.3  13.4  15.7 999.0 99.0 99.00
2015 01 04 05 50 339  2.5  3.5  0.81 11.43  6.42 286 1024.6  13.4  15.7 999.0 99.0 99.00
2015 01 04 06 50 310  3.9  4.8  0.75 10.81  6.22 281 1025.0  13.6  15.6 999.0 99.0 99.00
2015 01 04 07 50 318  4.2  5.2  0.76 11.43  6.41 277 1025.3  13.7  15.6 999.0 99.0 99.00
2015 01 04 08 50 349  3.3  4.6  0.75 10.81  6.34 292 1025.2  13.4  15.6 999.0 99.0 99.00
2015 01 04 09 50 355  2.3  2.8  0.79 11.43  6.76 282 1025.5  13.3  15.6 999.0 99.0 99.00
2015 01 04 10 50 335  1.9  2.6  0.77 11.43  6.87 302 1025.5  13.3  15.5 999.0 99.0 99.00
2015 01 04 11 50 337  1.7  2.5  0.77 10.81  7.32 309 1025.2  13.4  15.5 999.0 99.0 99.00
2015 01 04 12 50 321  2.6  3.4  0.71 11.43  7.31 295 1025.3  13.4  15.5 999.0 99.0 99.00
2015 01 04 13 50 301  2.9  3.8  0.76 13.79  7.69 269 1025.6  13.6  15.5 999.0 99.0 99.00
2015 01 04 14 50 332  2.9  3.5  0.70 13.79  7.32 291 1026.4  13.7  15.4 999.0 99.0 99.00
2015 01 04 15 50 327  3.1  3.8  0.81 10.81  7.60 281 1026.7  13.7  15.2 999.0 99.0 99.00
2015 01 04 16 50 335  2.0  2.9  0.76 12.12  7.43 288 1027.6  13.8  15.2 999.0 99.0 99.00
2015 01 04 17 50 325  2.8  3.5  0.82 13.79  7.87 280 1027.5  13.9  15.3 999.0 99.0 99.00
2015 01 04 18 50 318  3.4  4.1  0.83 12.90  7.89 294 1027.0  14.0  15.5 999.0 99.0 99.00
2015 01 04 19 50 303  5.1  6.2  0.81 12.90  7.67 284 1026.2  14.1  15.6 999.0 99.0 99.00
2015 01 04 20 50 300  4.4  5.2  0.88 12.90  7.34 260 1025.5  13.8  15.6 999.0 99.0 99.00
2015 01 04 21 50 300  4.7  5.5  0.85 12.90  7.05 277 1025.6  13.7  15.6 999.0 99.0 99.00
2015 01 04 22 50 295  5.5  6.8  0.83 12.12  6.56 274 1025.5  14.0  15.6 999.0 99.0 99.00
2015 01 04 23 50 305  6.8  7.7  0.90 12.90  6.74 275 1025.2  14.3  15.6 999.0 99.0 99.00
2015 01 05 00 50 310  7.3  8.6  0.93 12.12  5.66 279 1025.1  14.7  15.6 999.0 99.0 99.00
2015 01 05 01 50 319  8.5 10.6  0.90 12.12  4.55 286 1025.0  15.0  15.4 999.0 99.0 99.00
2015 01 05 02 50 323  9.0  9.8  1.08 12.12  4.96 276 1025.1  14.7  15.3 999.0 99.0 99.00
2015 01 05 03 50 331  8.0  9.0  1.04 12.12  5.27 273 1024.6  15.0  15.3 999.0 99.0 99.00
2015 01 05 04 50 337  5.4  6.3  1.00 12.12  5.28 288 1024.7  15.1  15.3 999.0 99.0 99.00
2015 01 05 05 50 327  6.2  7.3  1.10 12.12  5.95 296 1024.8  15.0  15.4 999.0 99.0 99.00
2015 01 05 06 50 352  3.4  4.0  1.07 12.12  6.48 282 1024.8  15.1  15.4 999.0 99.0 99.00
2015 01 05 07 50  38  1.5  2.0  1.04 12.12  6.42 292 1024.6  15.0  15.5 999.0 99.0 99.00
2015 01 05 08 50  34  1.6  2.0  1.29 12.12  8.03 293 1024.7  15.1  15.5 999.0 99.0 99.00
2015 01 05 09 50  34  2.1  2.8  1.19 11.43  8.24 304 1024.3  14.9  15.5 999.0 99.0 99.00
2015 01 05 10 50 359  2.1  2.6  1.22 11.43  8.01 297 1024.3  14.9  15.5 999.0 99.0 99.00
2015 01 05 11 50 337  3.2  3.9  1.25 12.12  8.22 300 1023.9  15.1  15.5 999.0 99.0 99.00
2015 01 05 12 50 329  2.2  2.8  1.27 11.43  8.64 287 1023.6  15.2  15.6 999.0 99.0 99.00
2015 01 05 13 50 298  2.1  2.7  1.16 11.43  8.24 290 1023.4  15.5  15.6 999.0 99.0 99.00
2015 01 05 14 50 290  1.9  2.3  1.29 17.39  8.76 294 1023.2  15.5  15.6 999.0 99.0 99.00
2015 01 05 15 50 261  0.6  1.2  1.26 17.39  8.76 311 1023.5  15.8  15.6 999.0 99.0 99.00
2015 01 05 16 50 153  0.4  0.9  1.31 17.39  8.35 306 1024.3  16.6  15.6 999.0 99.0 99.00
2015 01 05 17 50 140  2.0  2.7  1.20 16.00  7.67 299 1024.1  15.9  15.7 999.0 99.0 99.00
2015 01 05 18 50 133  2.1  2.7  1.33 17.39  8.85 294 1023.7  15.8  15.8 999.0 99.0 99.00
2015 01 05 19 50 112  1.9  2.6  1.39 16.00  8.92 299 1023.0  15.9  16.0 999.0 99.0 99.00
2015 01 05 20 50 105  1.4  2.4  1.13 16.00  8.43 310 1021.8  16.0  16.1 999.0 99.0 99.00
2015 01 05 21 50 350  0.7  1.0  1.16 16.00  8.62 317 1021.2  16.3  16.2 999.0 99.0 99.00
2015 01 05 22 50 289  1.6  2.2  1.25 16.00  9.07 295 1021.0  16.4  16.4 999.0 99.0 99.00
2015 01 05 23 50 303  2.7  3.4  1.10 16.00  8.61 294 1020.9  16.5  16.3 999.0 99.0 99.00
