DeployID,FieldID,Deployed,Recovered,Max of GPS_TagRecov,Max of TDR_TagRecov,ValidTDRFiles
199,MOK2013WTSH029A,2013-08-13 07:11,2013-08-15 08:40,1,6,
200,MOK2013WTSH034A,2013-08-13 07:20,2013-08-17 07:35,1,6,
201,MOK2013WTSH021A,2013-08-13 07:32,2013-08-13 07:32,0,6,
202,MOK2013WTSH022A,2013-08-13 07:45,2013-08-13 07:45,0,6,
203,MOK2013WTSH017A,2013-08-13 08:04,2013-08-16 06:51,1,6,
204,MOK2013WTSH019A,2013-08-13 08:13,2013-08-21 07:35,1,6,
205,MOK2013WTSH007A,2013-08-13 08:25,2013-08-13 08:25,0,6,
206,MOK2013WTSH025A,2013-08-13 08:37,2013-08-14 20:25,1,6,
207,MOK2013WTSH039A,2013-08-13 08:48,2013-08-15 04:17,1,6,
208,MOK2013WTSH026A,2013-08-13 09:00,2013-08-16 07:50,1,6,
209,MOK2013WTSH009A,2013-08-13 09:15,2013-08-15 09:05,1,6,
210,MOK2013WTSH010A,2013-08-13 09:28,2013-08-13 09:28,0,6,
211,MOK2013WTSH040A,2013-08-13 09:37,2013-08-13 09:37,0,6,
212,MOK2013WTSH011A,2013-08-13 09:45,2013-08-16 09:35,1,6,
213,MOK2013WTSH032A,2013-08-13 09:59,2013-08-16 09:45,1,6,
214,MOK2013WTSH023A,2013-09-09 05:38,2013-09-09 05:38,0,6,
215,MOK2013WTSH005A,2013-09-09 07:14,2013-09-09 07:14,0,6,
216,MOK2013WTSH024A,2013-09-09 07:25,2013-09-09 07:25,0,6,
217,MOK2013WTSH031A,2013-09-09 07:32,2013-09-10 07:40,1,6,
218,MOK2013WTSH015A,2013-09-09 07:40,2013-09-09 07:40,0,6,
219,MOK2013WTSH001A,2013-09-09 07:47,2013-09-10 09:55,1,6,
220,MOK2013WTSH042A,2013-09-09 08:03,2013-09-10 07:15,1,6,
221,MOK2013WTSH013A,2013-09-09 08:11,2013-09-09 08:11,0,6,
222,MOK2013WTSH028A,2013-09-09 08:19,2013-09-10 10:54,1,6,
223,MOK2013WTSH943A,2013-09-09 08:29,2013-09-13 09:55,1,6,
224,MOK2013WTSH027A,2013-09-09 08:37,2013-09-13 05:55,1,6,
225,MOK2013WTSH004A,2013-09-09 08:48,2013-09-12 08:50,1,6,
226,MOK2013WTSH037A,2013-09-09 09:00,2013-09-09 09:00,0,6,
227,MOK2013WTSH012A,2013-09-09 09:05,2013-09-12 06:40,1,6,
228,MOK2013WTSH003A,2013-09-09 09:28,2013-09-12 15:15,1,6,
229,MOK2013WTSH016A,2013-09-09 09:38,2013-09-10 06:50,1,6,
230,MOK2013WTSH018A,2013-09-09 09:59,2013-09-09 09:59,0,6,
231,MOK2013WTSH014A,2013-09-09 10:10,2013-09-10 11:18,1,6,
232,MOK2013WTSH041A,2013-09-09 10:15,2013-09-10 11:10,1,6,
233,MOK2013WTSH002A,2013-09-09 10:25,2013-09-09 10:25,0,6,
234,MOK2013WTSH050A,2013-09-27 05:39,2013-09-27 05:39,0,6,
235,MOK2013WTSH052A,2013-09-27 06:24,2013-09-28 06:50,1,6,
236,MOK2013WTSH066A,2013-09-27 06:38,2013-09-28 13:48,1,6,
237,MOK2013WTSH065A,2013-09-27 07:29,2013-09-27 07:29,0,6,
238,MOK2013WTSH056A,2013-09-27 07:29,2013-09-27 07:29,0,6,
239,MOK2013WTSH067A,2013-09-27 07:43,2013-09-28 07:00,1,6,
240,MOK2013WTSH060A,2013-09-27 08:09,2013-09-27 08:09,0,6,
241,MOK2013WTSH057A,2013-09-27 08:22,2013-09-27 08:22,0,6,
242,MOK2013WTSH053A,2013-09-27 08:32,2013-10-02 06:32,1,6,
243,MOK2013WTSH061A,2013-09-27 08:42,2013-09-27 08:42,0,6,
244,MOK2013WTSH063A,2013-09-27 08:51,2013-09-27 08:51,0,6,
245,MOK2013WTSH051A,2013-09-27 09:26,2013-09-28 06:50,1,6,
246,MOK2013WTSH054A,2013-09-27 09:33,2013-09-28 07:20,1,6,
247,MOK2013WTSH064A,2013-09-27 09:40,2013-09-28 07:35,1,6,
