#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 03 20 00 128  4.8  5.7  1.31 13.79  9.57 268 1018.5  14.1  13.3 999.0 99.0 99.00
2008 01 03 21 00 157  3.0  4.1  1.41 12.90 10.60 259 1018.1  13.8  13.3 999.0 99.0 99.00
2008 01 03 22 00 331  2.7  3.6  1.31 12.90  9.88 289 1017.5  13.5  13.3 999.0 99.0 99.00
2008 01 03 23 00  41  2.6  3.5  1.49 12.90 10.48 291 1016.1  13.5  13.3 999.0 99.0 99.00
2008 01 04 00 00 104  0.8  2.0  1.60 14.81 10.69 284 1016.6  13.7  13.3 999.0 99.0 99.00
2008 01 04 01 00 162  0.6  1.1  1.65 13.79 10.82 290 1016.8  13.4  13.2 999.0 99.0 99.00
2008 01 04 02 00 292  1.7  3.6  1.75 13.79 11.28 295 1017.4  13.1  13.2 999.0 99.0 99.00
2008 01 04 03 00 354  1.1  2.1  1.86 14.81 11.82 293 1017.3  13.0  13.1 999.0 99.0 99.00
2008 01 04 04 00  95  2.4  3.3  1.65 13.79 11.13 292 1016.9  12.9  13.0 999.0 99.0 99.00
2008 01 04 05 00 101  4.5  5.8  1.81 13.79 11.87 273 1017.5  13.2  13.0 999.0 99.0 99.00
2008 01 04 06 00 102  5.1  6.2  1.71 14.81 11.56 260 1017.7  13.2  13.0 999.0 99.0 99.00
2008 01 04 07 00 112  5.0  6.4  1.59 13.79 10.16 250 1018.7  13.2  13.0 999.0 99.0 99.00
2008 01 04 08 00 117  4.9  6.2  1.74 14.81 10.54 252 1018.3  13.0  13.0 999.0 99.0 99.00
2008 01 04 09 00 127  6.3  7.5  1.64 13.79  9.14 258 1017.5  13.0  13.0 999.0 99.0 99.00
2008 01 04 10 00 120  5.0  6.0  1.61 12.90 10.00 247 1018.3  13.1  13.1 999.0 99.0 99.00
2008 01 04 11 00 130  5.2  6.5  1.56 14.81 10.34 259 1018.3  13.2  13.1 999.0 99.0 99.00
2008 01 04 12 00 122  5.8  7.1  1.62 13.79  9.87 264 1017.1  13.1  13.2 999.0 99.0 99.00
2008 01 04 13 00 112  7.8  9.2  1.35 12.90  9.40 269 1016.7  13.5  13.2 999.0 99.0 99.00
2008 01 04 14 00 109  8.5 10.3  1.40 13.79  7.56 272 1016.7  13.1  13.3 999.0 99.0 99.00
2008 01 04 15 00 113  8.3 10.2  1.52 13.79  7.27 267 1017.2  13.3  13.3 999.0 99.0 99.00
2008 01 04 16 00 107 10.3 12.3  1.47 12.90  6.26 264 1017.0  13.4  13.3 999.0 99.0 99.00
2008 01 04 17 00 109 10.7 12.4  1.56 14.81  6.02 259 1016.5  13.4  13.4 999.0 99.0 99.00
2008 01 04 18 00 110 11.0 13.0  1.43 12.90  5.18 262 1017.4  13.4  13.4 999.0 99.0 99.00
2008 01 04 19 00 111 11.5 14.0  1.51 13.79  5.51 267 1016.6  13.6  13.4 999.0 99.0 99.00
2008 01 04 20 00 115  9.8 11.7  1.41 13.79  5.25 259 1016.2  13.4  13.4 999.0 99.0 99.00
2008 01 04 21 00 115  8.6  9.9  1.50 12.90  5.43 264 1015.4  13.2  13.4 999.0 99.0 99.00
2008 01 04 22 00 126  8.4  9.6  1.32 12.90  5.05 256 1014.4  13.2  13.3 999.0 99.0 99.00
2008 01 04 23 00 135  8.6 10.6  1.28 13.79  5.30 264 1013.4  13.5  13.3 999.0 99.0 99.00
2008 01 05 00 00 161  8.3 11.0  1.29 12.12  5.07 244 1012.5  14.0  13.3 999.0 99.0 99.00
2008 01 05 01 00 181 10.2 12.5  1.47 12.12  4.91 253 1011.5  14.9  13.2 999.0 99.0 99.00
2008 01 05 02 00 193 12.2 15.1  1.73 10.81  4.97 262 1010.8  14.8  13.2 999.0 99.0 99.00
2008 01 05 03 00 196 11.8 13.6  1.84 12.90  5.28 241 1010.4  14.6  13.2 999.0 99.0 99.00
2008 01 05 04 00 201 13.2 15.5  1.94 12.90  5.17 253 1010.0  14.6  13.2 999.0 99.0 99.00
2008 01 05 05 00 202 11.7 14.3  1.94 10.81  5.52 263 1010.0  14.2  13.2 999.0 99.0 99.00
2008 01 05 06 00 217  8.3 10.3  1.93 12.12  5.83 260 1010.9  14.1  13.2 999.0 99.0 99.00
2008 01 05 07 00 274  7.8  9.4  1.92 11.43  5.74 276 1011.8  12.8  13.2 999.0 99.0 99.00
2008 01 05 08 00 294  5.5  7.5  2.16  9.09  6.59 276 1012.2  12.6  13.2 999.0 99.0 99.00
2008 01 05 09 00 241  3.0  4.3  2.07 10.81  7.09 273 1011.6  12.6  13.2 999.0 99.0 99.00
2008 01 05 11 00 259  6.4  7.9  2.22 11.43  8.22 274 1012.1  12.5  13.2 999.0 99.0 99.00
2008 01 05 13 00 257  5.3  6.6  2.23 11.43  8.49 274 1012.0  12.5  13.2 999.0 99.0 99.00
2008 01 05 14 00 257  6.3  7.4  2.17 12.12  8.33 278 1012.1  12.5  13.3 999.0 99.0 99.00
2008 01 05 15 00 252  6.2  7.5  2.31 10.81  8.65 276 1012.8  12.6  13.4 999.0 99.0 99.00
2008 01 05 16 00 256  4.8  6.0  2.45 12.12  8.90 282 1013.5  12.8  13.4 999.0 99.0 99.00
2008 01 05 17 00 224  3.7  4.6  2.72 11.43  9.72 281 1014.0  12.8  13.4 999.0 99.0 99.00
2008 01 05 18 00 204  3.6  4.7  3.28 14.81 10.59 274 1014.8  12.9  13.4 999.0 99.0 99.00
2008 01 05 19 00 225  2.2  3.2  3.44 17.39 10.99 277 1014.9  13.2  13.4 999.0 99.0 99.00
2008 01 05 20 00 205  1.3  2.0  3.64 13.79 11.08 279 1014.7  13.3  13.4 999.0 99.0 99.00
2008 01 05 21 00 225  0.4  1.7  3.52 12.90 10.78 284 1014.0  13.1  13.4 999.0 99.0 99.00
2008 01 05 22 00  79  1.6  3.5  3.45 19.05 11.15 290 1013.6  12.8  13.4 999.0 99.0 99.00
2008 01 05 23 00 100  1.1  2.7  3.59 19.05 11.11 289 1013.3  12.6  13.4 999.0 99.0 99.00
2008 01 06 00 00 108  2.9  4.6  3.77 17.39 11.28 279 1012.5  12.6  13.5 999.0 99.0 99.00
2008 01 06 01 00 103  2.4  4.0  3.49 16.00 11.04 273 1012.9  12.8  13.4 999.0 99.0 99.00
2008 01 06 02 00  91  3.5  5.1  3.52 12.12 10.66 274 1012.6  12.7  13.3 999.0 99.0 99.00
2008 01 06 03 00 111  2.9  5.0  3.48 14.81 10.80 273 1012.5  12.8  13.2 999.0 99.0 99.00
2008 01 06 04 00 178  2.4  3.2  3.70 12.12 10.69 275 1013.0  12.9  13.2 999.0 99.0 99.00
2008 01 06 05 00 182  4.6  5.8  3.39 17.39 10.55 254 1012.9  13.0  13.2 999.0 99.0 99.00
2008 01 06 06 00 161  4.6  5.5  3.54 12.90 10.63 256 1012.6  12.9  13.2 999.0 99.0 99.00
2008 01 06 07 00 199  7.4  9.0  3.24 12.12 10.10 259 1012.6  13.2  13.2 999.0 99.0 99.00
2008 01 06 08 00 233  7.8  9.3  3.43 14.81 10.12 270 1012.7  13.6  13.2 999.0 99.0 99.00
2008 01 06 09 00 241  7.0  8.5  3.06 14.81  9.66 275 1012.6  13.4  13.2 999.0 99.0 99.00
2008 01 06 10 00 239  6.5  8.3  3.14 17.39  9.78 273 1012.8  13.4  13.2 999.0 99.0 99.00
2008 01 06 11 00 253  5.5  7.0  2.65 12.90  9.25 279 1012.8  13.3  13.2 999.0 99.0 99.00
2008 01 06 12 00 268  7.3  8.8  2.78 12.90  9.45 279 1012.7  13.1  13.1 999.0 99.0 99.00
2008 01 06 13 00 286  7.9 10.0  2.78 12.12  8.98 281 1012.9  12.9  13.2 999.0 99.0 99.00
2008 01 06 14 00 286  7.7  9.4  2.75 16.00  8.94 280 1013.8  12.9  13.2 999.0 99.0 99.00
2008 01 06 15 00 291  6.8  8.7  2.54 16.00  9.17 281 1014.0  12.6  13.1 999.0 99.0 99.00
2008 01 06 16 00 289  6.3  8.0  2.72 14.81  9.26 282 1014.4  12.5  13.0 999.0 99.0 99.00
2008 01 06 17 00 286  5.8  7.2  3.17 16.00 10.31 288 1015.1  12.5  12.9 999.0 99.0 99.00
2008 01 06 18 00 298  5.9  7.1  2.84 14.81  9.66 290 1016.3  12.5  12.9 999.0 99.0 99.00
2008 01 06 19 00 268  4.1  6.0  2.74 16.00  9.70 286 1016.3  12.5  12.9 999.0 99.0 99.00
2008 01 06 20 00 237  4.2  5.4  2.85 14.81 10.02 286 1015.7  12.4  13.0 999.0 99.0 99.00
2008 01 06 21 00 218  3.6  4.5  2.93 14.81 10.05 283 1014.9  12.4  13.0 999.0 99.0 99.00
2008 01 06 22 00 200  2.1  2.8  2.86 14.81 10.06 293 1014.0  12.4  13.1 999.0 99.0 99.00
2008 01 06 23 00 209  1.9  3.0  2.85 13.79 10.07 288 1014.0  12.3  13.2 999.0 99.0 99.00
2008 01 07 00 00 198  1.6  2.6  2.89 14.81  9.94 280 1014.0  10.8  13.3 999.0 99.0 99.00
2008 01 07 01 00  99  5.1  8.3  2.99 14.81 10.07 289 1012.7  10.3  13.1 999.0 99.0 99.00
2008 01 07 02 00  89  4.7  6.7  2.95 13.79 10.10 277 1012.4  10.3  13.3 999.0 99.0 99.00
2008 01 07 03 00 136  5.6  6.9  2.57 13.79  9.74 268 1011.8  10.3  13.3 999.0 99.0 99.00
2008 01 07 04 00 104  7.4  9.1  2.49 13.79  9.22 256 1011.1  10.4  13.4 999.0 99.0 99.00
2008 01 07 05 00  93  9.5 11.7  2.56 12.12  8.79 265 1010.4  10.5  13.4 999.0 99.0 99.00
2008 01 07 06 00  76 10.3 12.2  2.30 14.81  7.78 272 1009.4   9.8  13.1 999.0 99.0 99.00
2008 01 07 07 00  86 10.2 13.0  2.16 13.79  6.65 266 1008.5  10.0  13.1 999.0 99.0 99.00
2008 01 07 08 00  90  9.7 12.0  2.04 13.79  6.78 261 1008.3   9.9  13.0 999.0 99.0 99.00
2008 01 07 09 00  71  7.4  8.9  1.98 14.81  7.05 268 1008.8   9.5  12.9 999.0 99.0 99.00
2008 01 07 10 00  70  3.9  5.3  1.84 13.79  7.53 279 1009.2   9.8  12.8 999.0 99.0 99.00
2008 01 07 11 00 280  2.2  3.2  1.78 13.79  8.79 290 1009.9  10.2  12.8 999.0 99.0 99.00
2008 01 07 12 00 254  7.0  8.3  1.88 13.79 10.13 282 1009.3  10.8  12.8 999.0 99.0 99.00
2008 01 07 13 00 290 11.1 13.6  1.87 13.79  8.82 279 1009.6  10.7  12.7 999.0 99.0 99.00
2008 01 07 14 00 307  9.4 11.1  2.03 12.90  7.87 287 1010.7  11.3  13.0 999.0 99.0 99.00
2008 01 07 15 00 306  6.7  8.7  2.19 12.90  7.87 287 1012.3  11.7  13.0 999.0 99.0 99.00
2008 01 07 16 00 315  8.9 10.7  2.34 13.79  7.44 286 1013.3  11.6  13.1 999.0 99.0 99.00
2008 01 07 17 00 309  7.9  9.4  2.10 13.79  7.32 278 1014.9  11.9  13.2 999.0 99.0 99.00
2008 01 07 18 00 322  6.6  7.7  2.24 13.79  7.36 282 1016.2  12.2  13.2 999.0 99.0 99.00
2008 01 07 19 00 320  5.7  6.7  2.09 13.79  7.70 285 1017.0  12.6  13.2 999.0 99.0 99.00
2008 01 07 20 00 296  7.3  8.8  2.30 12.12  7.79 284 1016.8  12.6  13.2 999.0 99.0 99.00
2008 01 07 21 00 296  7.9  9.6  2.38 13.79  7.92 290 1016.9  12.8  13.3 999.0 99.0 99.00
2008 01 07 22 00 292  7.9  9.4  2.18 12.90  7.52 271 1016.6  13.2  13.3 999.0 99.0 99.00
2008 01 07 23 00 296  9.3 11.0  2.07 10.81  7.12 281 1016.5  13.4  13.2 999.0 99.0 99.00
2008 01 08 00 00 291 10.2 12.0  2.21 12.90  6.74 283 1017.3  13.2  13.2 999.0 99.0 99.00
2008 01 08 01 00 292  9.7 11.8  2.14 11.43  6.41 278 1017.7  12.8  13.2 999.0 99.0 99.00
2008 01 08 02 00 296 10.8 12.8  2.15 12.90  6.20 278 1017.1  12.5  13.1 999.0 99.0 99.00
2008 01 08 03 00 300  9.6 11.2  2.09 12.90  6.55 276 1018.3  12.4  13.1 999.0 99.0 99.00
2008 01 08 04 00 304 10.1 11.9  1.99 12.12  6.34 290 1018.9  12.4  13.0 999.0 99.0 99.00
