#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 06 02 00 310  6.8  9.1  3.19 12.90  8.36 999 1025.4  13.3  13.8 999.0 99.0 99.00
2007 01 06 03 00 335  8.0 11.0  2.99 10.81  7.94 999 1025.3  13.4  13.8 999.0 99.0 99.00
2007 01 06 04 00 316  4.7  6.6  2.92 11.43  8.10 999 1026.0  13.4  13.7 999.0 99.0 99.00
2007 01 06 05 00 359  2.9  4.0  2.85 14.81  8.08 999 1026.4  13.4  13.7 999.0 99.0 99.00
2007 01 06 06 00 357  2.7  3.6  2.98 12.90  7.54 999 1026.8  13.6  13.7 999.0 99.0 99.00
2007 01 06 07 00 261  0.8  2.3  2.94 12.90  8.10 999 1027.2  13.2  13.7 999.0 99.0 99.00
2007 01 06 08 00 259  1.5  2.9  2.76 12.12  8.32 999 1027.0  13.4  13.7 999.0 99.0 99.00
2007 01 06 09 00 298  1.8  3.5  2.77 12.12  8.74 999 1026.9  13.1  13.7 999.0 99.0 99.00
2007 01 06 10 00 306  3.5  4.7  2.66 12.12  8.45 999 1027.2  13.0  13.7 999.0 99.0 99.00
2007 01 06 11 00 355  0.3  1.2  2.92 13.79  8.87 999 1027.3  13.0  13.7 999.0 99.0 99.00
2007 01 06 12 00  25  0.3  1.2  2.67 12.12  8.68 999 1027.8  12.9  13.7 999.0 99.0 99.00
2007 01 06 13 00 146  2.1  3.2  2.53 14.81  8.26 999 1027.5  12.7  13.7 999.0 99.0 99.00
2007 01 06 14 00 236  2.3  3.6  2.34 12.12  7.87 999 1027.5  12.5  13.6 999.0 99.0 99.00
2007 01 06 15 00 140  3.6  4.7  2.39 12.12  7.97 999 1027.4  12.4  13.5 999.0 99.0 99.00
2007 01 06 16 00 155  3.3  4.6  2.26 12.90  7.63 999 1027.7  12.4  13.5 999.0 99.0 99.00
2007 01 06 17 00 212  1.7  2.5  2.56 12.90  7.95 999 1028.5  12.8  13.4 999.0 99.0 99.00
2007 01 06 18 00 179  2.4  3.3  2.22 12.90  7.58 999 1028.0  12.8  13.3 999.0 99.0 99.00
2007 01 06 19 00 209  2.2  3.2  2.28 11.43  7.66 999 1026.9  12.9  13.3 999.0 99.0 99.00
2007 01 06 20 00 272  4.0  5.0  2.25 12.90  7.31 999 1025.6  12.7  13.4 999.0 99.0 99.00
2007 01 06 21 00 253  4.5  5.4  2.24 11.43  7.48 999 1023.9  14.0  13.5 999.0 99.0 99.00
2007 01 06 22 00 290  9.0 10.4  2.36 10.81  6.85 999 1022.5  15.2  13.5 999.0 99.0 99.00
2007 01 06 23 00 257  9.5 11.5  2.48 12.12  6.43 999 1022.3  15.5  13.4 999.0 99.0 99.00
2007 01 07 00 00 291 10.0 12.4  2.50 11.43  6.15 999 1021.9  15.9  13.4 999.0 99.0 99.00
2007 01 07 01 00 286  9.7 11.4  2.52 10.81  6.42 999 1022.2  15.1  13.4 999.0 99.0 99.00
2007 01 07 02 00 280  8.1  9.8  2.51 11.43  6.54 999 1022.5  14.6  13.4 999.0 99.0 99.00
2007 01 07 03 00 308  7.2  8.3  2.33 10.81  6.20 999 1022.7  15.3  13.4 999.0 99.0 99.00
2007 01 07 04 00 320  5.2  6.6  2.40 10.00  6.70 999 1023.6  15.5  13.4 999.0 99.0 99.00
2007 01 07 05 00 252  1.3  2.3  2.30 12.90  6.90 999 1023.5  15.2  13.4 999.0 99.0 99.00
2007 01 07 06 00 121  2.3  3.9  2.21 10.81  6.81 999 1024.0  16.3  13.3 999.0 99.0 99.00
2007 01 07 07 00  33  1.7  2.6  2.28 10.81  7.29 999 1024.2  15.9  13.3 999.0 99.0 99.00
2007 01 07 08 00 114  1.4  2.6  2.09 13.79  7.11 999 1024.7  14.5  13.3 999.0 99.0 99.00
