FieldID,ID,Deploy_ID,Island,Site,SubCol,SubCol_Code,Species,Year,Phenology,NestNo,GPS_Y_N,GPS_ID,GPS_programmed_start_datetime_local,DeplSess,GPS_Interval_seconds,GPS_notes,Tagging_Event,Contents,NestPhen,NestPhen1,Chick_Stage,Capture_date_local,Capture_time_local,Release_time_local,UTC_LocalTime_offset_hours,UTC,BandNo,R_L,offset,GPS_TagRecov,TDR_TagRecov,Notes,Capture_loc,Blood_FTA,Blood_vial,Feathers,GPS_Track_File,revised_sample_no,TDR_Y_N,TDR_ID,TDR_File,Sex,How_Sexed,Age,Diet,Mass,Culmen,Lat_DD,Long_DD,Date_Modified,Time_Modified,Wing,Processor,Chick % adult sz,Chick Primaries growing
,,32,Maui,Hawea,Hawea,HAW,WTSH,2013,LC,10,,92,10/7/2013 21:00,3,300,,R,LDC,,,,10/9/2013,19:10,19:15,-10,10/10/2013 5:10,1125-02124,R,,1,,,Outside burrow,Y,Y,N,HAW_WTSH_010_02124_092_100913,,,,,,,,,,,,,,,,,,
,,44,Maui,Hawea,Hawea,HAW,WTSH,2013,LC,45,,3,10/7/2013 21:00,3,300,,R,LDC,,,,10/12/2013,22:45,22:51,-10,10/13/2013 8:45,954-24499,R,,2,,Tag Lost,Outside burrow,Y,Y,N,,,,,,,,,,,,,,,,,,,
,,49,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,23,,287,9/10/2013 21:00,2,300,,R,LDC,,,,9/15/2013,23:40,23:45,-10,9/16/2013 9:40,954-28078,R,,1,,,Outside,Y,Y,N,HOO_WTSH_023_28078_287_091513,,,,,,,,,,,,,,,,,,
,,50,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,6,,330,9/10/2013 21:00,2,300,,R,LDC,,,,9/11/2013,19:59,20:03,-10,9/12/2013 5:59,954-27956,L,,1,,,Burrow,Y,Y,N,HOO_WTSH_006_27956_330_091113,,,,,,,,,,,,,,,,,,
,,51,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,38,,234,9/10/2013 21:00,2,300,Tag Lost,R,SDC,,,,9/15/2013,21:37,21:41,-10,9/16/2013 7:37,954-02017,R,,2,,,Outside burrow,Y,Y,N,,,,,,,,,,,,,,,,,,,
,,52,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,9,,2,9/10/2013 21:00,2,300,,R,LDC,,,,9/12/2013,20:16,20:20,-10,9/13/2013 6:16,954-28091,L,,1,,Did a couple short loops towards ocean before retrieval,Outside,Y,Y,N,HOO_WTSH_009_28091_002_091213,,,,,,,,,,,,,,,,,,
,,53,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,15,,7,9/10/2013 21:00,2,300,,R,LDC,,,,9/15/2013,23:00,23:05,-10,9/16/2013 9:00,954-01940,R,,1,,,Outside burrow,Y,Y,N,HOO_WTSH_015_01940_007_091513,,,,,,,,,,,,,,,,,,
,,55,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,29,,305,9/10/2013 21:00,2,300,,R,LDC,,,,9/15/2013,19:57,20:01,-10,9/16/2013 5:57,954-24614,R,,1,,,Outside burrow,Y,Y,N,HOO_WTSH_029_24614_305_091513,,,,,,,,,,,,,,,,,,
,,56,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,13,,1,9/10/2013 21:00,2,300,Tag Lost,R,LDC,,,,9/15/2013,20:16,20:24,-10,9/16/2013 6:16,1125-02101,L,,2,,,Burrow,Y,Y,N,,,,,,,,,,,,,,,,,,,
,,57,Maui,Hookipa,Hookipa,HOO,WTSH,2013,MC,35,,82,9/10/2013 21:00,2,300,,R,LDC,,,,9/11/2013,21:08,21:12,-10,9/12/2013 7:08,954-24644,L,,1,,,Burrow,Y,Y,N,HOO_WTSH_035_24644_082_091113,,,,,,,,,,,,,,,,,,
