Trapline,TrapNum,Year,Month,Day,predCaught,birdCaught,otherCaught,NumCaught,Sex,Age,Condition,Disposition,TrapStatus,BaitStatus,BaitPrev,RAINA 2016 Comments,BaitSet,Observer,Recorder,Comments
A,12,2012,4,4,RR,,,1,,Adult,5,NA,C,N,,Keep,None,JY,DME,All Live Traps AV Closed
A,14,2013,9,10,,,,NA,,,NA,NA,O,N,,Delete,WM,SO,SJB,
A,14,2013,9,10,RR,,,1,UNK,Adult,2,NA,C,N,,Keep,WM,SO,SJB,
A,3,2013,10,29,,,,NA,,,NA,NA,O,N,,Delete,CD,SO,SJB,
A,3,2013,10,29,RR,,,1,UNK,Sub-Adult,2,NA,C,N,,Keep,CD,SO,SJB,
A,12,2013,12,30,,,,NA,,,NA,NA,O,N,,Delete,CD,SJB,KG,
A,12,2013,12,30,,,,NA,,,NA,NA,C,N,,Keep,CD,SJB,KG,
A,15,2014,2,24,,,NA,NA,,,NA,,C,Y,NA,Keep,CD,KG,LH,
A,15,2014,2,24,,,NA,NA,,,NA,,O,Y,NA,Delete,CD,KG,LH,
B,21,2000,1,19,,,,0,,,NA,NA,C,N,CD,Keep,,RT,TM,
B,21,2000,1,19,,,,0,,,NA,NA,O,N,CD,Delete,,RT,TM,
B,61,2000,3,15,,,,0,,,NA,NA,M,,,Keep,,CB,IC,
B,61,2000,3,15,,,,0,,,NA,NA,O,N,CD,Delete,,CB,IC,
B,47,2000,3,24,,,,0,,,NA,NA,M,,,Keep,,CS,TM,
B,47,2000,3,24,,,,0,,,NA,NA,O,N,CD,Delete,,CS,TM,
B,22,2000,6,12,,,,0,,,NA,NA,M,,,Delete,,"RT, DN",LS,
B,22,2000,6,12,,,,0,,,NA,NA,O,N,CD,Keep,,"RT, DN",LS,
B,52,2000,6,12,,,,0,,,NA,NA,M,,,Delete,,"RT, DN",LS,
B,52,2000,6,12,RR,,,1,,,4,NA,C,N,CD,Keep,,"RT, DN",LS,
B,44,2000,6,22,,,,0,,,NA,NA,O,N,CD,Delete,,JC,JC,
B,44,2000,6,22,,,,0,,,NA,NA,O,Y,CD,Keep,,JC,JC,
B,30,2000,6,28,,,,0,,,NA,NA,O,Y,CD,Delete,,VS,JC,
B,30,2000,6,28,HA,,,1,M,A,2,NA,C,N,CD,Keep,,VS,JC,
B,39,2000,6,28,,,,0,,,NA,NA,O,N,CD,Delete,,VS,JC,
B,39,2000,6,28,,,,0,,,NA,NA,O,Y,CD,Keep,,VS,JC,
B,40,2000,6,28,,,,0,,,NA,NA,O,N,CD,Delete,,VS,JC,
B,40,2000,6,28,,,,0,,,NA,NA,O,Y,CD,Keep,,VS,JC,
B,41,2000,6,28,,,,0,,,NA,NA,O,N,CD,Delete,,VS,JC,
B,41,2000,6,28,,,,0,,,NA,NA,O,Y,CD,Keep,,VS,JC,
B,44,2000,6,28,,,,0,,,NA,NA,O,N,CD,Delete,,VS,JC,
B,44,2000,6,28,RR,,,1,M,A,2,NA,C,N,CD,Keep,,VS,JC,
B,46,2000,6,28,,,,0,,,NA,NA,O,N,CD,Delete,,VS,JC,
B,46,2000,6,28,RR,,,1,,A,2,NA,C,N,CD,Keep,,VS,JC,
B,61,2000,6,28,,,,0,,,NA,NA,M,,CD,Keep,,VS,JC,
B,61,2000,6,28,,,,0,,,NA,NA,O,N,CD,Delete,,VS,JC,
B,62,2000,6,28,,,,0,,,NA,NA,O,N,CD,Delete,,VS,JC,
B,62,2000,6,28,,,,0,,,NA,NA,O,Y,CD,Keep,,VS,JC,
B,72,2000,6,28,,,,0,,,NA,NA,O,N,CD,Delete,,VS,JC,
B,72,2000,6,28,,,,0,,,NA,NA,O,Y,CD,Keep,,VS,JC,
B,10,2000,7,6,,,,0,,,NA,NA,C,N,CD,Keep,,PF,JC,
B,10,2000,7,6,,,,0,,,NA,NA,O,N,CD,Delete,,PF,JC,
B,65,2000,7,6,,,,0,,,NA,NA,C,Y,CD,Delete,,PF,JC,
B,65,2000,7,6,RR,,,1,,A,2,NA,C,N,CD,Keep,,PF,JC,
B,61,2000,7,17,,,,0,,,NA,NA,M,,CD,Keep,,PF,JC,
B,61,2000,7,17,,,,0,,,NA,NA,O,N,CD,Delete,,PF,JC,
B,66,2000,7,17,,,,0,,,NA,NA,M,,CD,Keep,,PF,JC,
B,66,2000,7,17,,,,0,,,NA,NA,O,Y,CD,Delete,,PF,JC,
B,36,2000,7,24,,,,0,,,NA,NA,M,,,Keep,,JC,LS,
B,36,2000,7,24,,,,0,,,NA,NA,O,Y,CD,Delete,,JC,LS,
B,36,2000,8,22,,,,0,,,NA,NA,M,,CD,Keep,,JC,JC,
B,36,2000,8,22,,,,0,,,NA,NA,O,N,CD,Delete,,JC,JC,
B,23,2000,8,28,,,,0,,,NA,NA,M,,CD,Keep,,MS,JC,
B,23,2000,8,28,,,,0,,,NA,NA,O,N,CD,Delete,,MS,JC,
B,36,2000,9,5,,,,0,,,NA,NA,M,,,Keep,,JC,MS,
B,36,2000,9,5,,,,0,,,NA,NA,O,N,CD,Delete,,JC,MS,
B,59,2000,9,5,,,,0,,,NA,NA,NC,,,Keep,,JC,MS,
B,59,2000,9,5,,,,0,,,NA,NA,O,N,CD,Delete,,JC,MS,
B,61,2000,9,5,,,,0,,,NA,NA,M,,,Keep,,JC,MS,
B,61,2000,9,5,,,,0,,,NA,NA,O,N,CD,Delete,,JC,MS,
B,17,2000,9,12,,,,0,,,NA,NA,C,N,CD,Keep,,MS,MJW,
B,17,2000,9,12,,,,0,,,NA,NA,O,N,CD,Delete,,MS,MJW,
B,9,2000,9,18,,,,0,,,NA,NA,C,N,CD,Keep,,JC,MJW,
B,9,2000,9,18,,,,0,,,NA,NA,O,N,CD,Delete,,JC,MJW,
B,39,2000,9,18,,,,0,,,NA,NA,C,N,CD,Keep,,JC,MJW,
B,39,2000,9,18,,,,0,,,NA,NA,O,N,CD,Delete,,JC,MJW,
B,49,2000,9,18,,,,0,,,NA,NA,O,N,CD,Delete,,JC,MJW,
B,49,2000,9,18,RR,,,1,M,A,2,NA,C,N,CD,Keep,,JC,MJW,
B,5,2000,10,13,,,,0,,,NA,NA,C,N,CD,Keep,,MS,MS,
B,5,2000,10,13,,,,0,,,NA,NA,M,,,Delete,,MS,MS,
B,20,2000,11,9,,,,0,,,NA,NA,O,N,CD,Delete,,VS,MJW,
B,20,2000,11,9,,,,0,,,NA,NA,O,Y,CD,Keep,,VS,MJW,
B,36,2000,11,9,,,,0,,,NA,NA,M,N,,Keep,,VS,MJW,
B,36,2000,11,9,,,,0,,,NA,NA,O,N,CD,Delete,,VS,MJW,
B,64,2000,11,28,,,,0,,,NA,NA,O,N,CD,Delete,,MJW,IE,
B,64,2000,11,28,RR,,,1,F,A,2,NA,C,N,CD,Keep,,MJW,IE,unknown rat species; blonde fur
B,75,2000,12,4,,,,0,,,NA,NA,O,N,CD,Delete,,"MJW, IE",IE,
B,75,2000,12,4,,,,0,,,NA,NA,O,Y,CD,Keep,,"MJW, IE",IE,
B,51,2001,1,2,,,,0,,,NA,NA,M,,CD,Keep,,MJW,AC,
B,51,2001,1,2,,,,0,,,NA,NA,O,N,CD,Delete,,MJW,AC,
B,61,2001,2,5,,,,0,,,NA,NA,M,,CD,Keep,,"IE, HF",AC,
B,61,2001,2,5,,,,0,,,NA,NA,O,Y,CD,Delete,,"IE, HF",AC,
B,40,2001,2,16,,,,0,,,NA,NA,C,N,CD,Keep,,IE,AC,
B,40,2001,2,16,,,,0,,,NA,NA,O,N,CD,Delete,,IE,AC,
B,54,2001,3,12,,,,0,,,NA,NA,M,,CD,Keep,,VS,AC,
B,54,2001,3,12,,,,0,,,NA,NA,O,N,CD,Delete,,VS,AC,
B,44,2001,3,28,,,,0,,,NA,NA,O,N,CD,Delete,,AC,AC,
B,44,2001,3,28,,,,0,,,NA,NA,O,Y,CD,Keep,,AC,AC,
B,26,2001,4,11,,,,0,,,NA,NA,C,N,CD,Keep,,AC,AC,
B,26,2001,4,11,,,,0,,,NA,NA,O,N,CD,Delete,,AC,AC,
B,53,2001,4,30,,,,0,,,NA,NA,O,N,CD,Delete,,AC,AC,
B,53,2001,4,30,RR,,,1,M,A,3,NA,C,N,CD,Keep,,AC,AC,
B,70,2001,4,30,,,,0,,,NA,NA,C,N,CD,Keep,,AC,AC,
B,70,2001,4,30,,,,0,,,NA,NA,O,N,CD,Delete,,AC,AC,
B,43,2001,5,15,,,,0,,,NA,NA,O,N,CD,Delete,,AC,AC,
B,43,2001,5,15,,,,0,,,NA,NA,O,Y,CD,Keep,,AC,AC,
B,35,2001,6,5,,,,0,,,NA,NA,C,Y,CD,Keep,,VS,AC,
B,35,2001,6,5,,,,0,,,NA,NA,O,N,CD,Delete,,VS,AC,
B,19,2001,9,4,,,,0,,,NA,NA,O,N,CD,Delete,,VS,AC,
B,19,2001,9,4,RR,,,1,M,A,3,NA,C,N,CD,Keep,,VS,AC,
B,47,2001,9,17,,,,0,,,NA,NA,M,,,Keep,,"AC, CF",JH,
B,47,2001,9,17,,,,0,,,NA,NA,O,N,CD,Delete,,"AC,CF",JH,
B,26,2001,12,5,,,,0,,,NA,NA,C,Y,CD,Keep,,RT,JH,
B,26,2001,12,5,,,,0,,,NA,NA,O,N,CD,Delete,,RT,JH,
B,26,2001,12,18,,,,0,,,NA,NA,C,Y,CD,Keep,,JH,SR,
B,26,2001,12,18,,,,0,,,NA,NA,O,N,CD,Delete,,JH,SR,
B,23,2002,1,2,,,,0,,,NA,NA,M,,,Keep,,VS,CN,
B,23,2002,1,2,,,,0,,,NA,NA,O,N,CD,Delete,,VS,SR,
B,26,2002,1,2,,,,0,,,NA,NA,C,Y,CD,Keep,,VS,SR,
B,26,2002,1,2,,,,0,,,NA,NA,O,N,CD,Delete,,VS,SR,
B,35,2002,1,2,,,,0,,,NA,NA,O,N,CD,Delete,,VS,SR,
B,35,2002,1,2,RR,,,1,NR,A,2,NA,C,N,CD,Keep,,VS,SR,
B,44,2002,1,2,,,,0,,,NA,NA,O,N,CD,Delete,,VS,SR,
B,44,2002,1,2,,,,0,,,NA,NA,O,Y,CD,Keep,,VS,SR,
B,48,2002,1,2,,,,0,,,NA,NA,O,N,CD,Delete,,VS,SR,
B,48,2002,1,2,RR,,,1,NR,A,1,2,C,N,CD,Keep,,VS,SR,
B,31,2002,2,4,,,,0,,,NA,NA,O,N,CD,Delete,,SR,SR,
B,31,2002,2,4,,,,0,,,NA,NA,O,Y,CD,Keep,,SR,SR,
B,47,2002,3,4,,,,0,,,NA,NA,M,,,Keep,,SR,CN,
B,47,2002,3,4,,,,0,,,NA,NA,O,N,CD,Delete,,SR,SR,
B,65,2002,3,18,,,,0,,,NA,NA,O,N,CD,Delete,,SR,SR,
B,65,2002,3,18,,,,0,,,NA,NA,O,Y,CD,Keep,,SR,SR,
B,66,2002,3,18,,,,0,,,NA,NA,O,N,CD,Delete,,SR,SR,
B,66,2002,3,18,,,,0,,,NA,NA,O,Y,CD,Keep,,SR,SR,
B,67,2002,3,18,,,,0,,,NA,NA,O,N,CD,Delete,,SR,SR,
B,67,2002,3,18,,,,0,,,NA,NA,O,Y,CD,Keep,,SR,SR,
B,47,2002,3,25,,,,0,,,NA,NA,M,,,Keep,,SR,CN,
B,47,2002,3,25,,,,0,,,NA,NA,O,N,CD,Delete,,SR,CN,
B,70,2002,3,25,,,,0,,,NA,NA,C,N,CD,Keep,,SR,CN,
B,70,2002,3,25,,,,0,,,NA,NA,O,N,CD,Delete,,SR,CN,
B,46,2002,4,17,,,,0,,,NA,NA,C,N,CD,Keep,,SS,SS,
B,46,2002,4,17,,,,0,,,NA,NA,O,N,CD,Delete,,SS,SS,
B,64,2002,4,17,,,,0,,,NA,NA,O,N,CD,Delete,,SS,SS,
B,64,2002,4,17,,,,0,,,NA,NA,O,Y,CD,Keep,,SS,SS,
B,29,2002,4,22,,,,0,,,NA,NA,O,N,IK,Keep,,SR,TY,
B,29,2002,4,22,,,,0,,,NA,NA,O,Y,IK,Delete,,SR,TY,
B,39,2002,4,22,,,,0,,,NA,NA,O,N,IK,Keep,,SR,TY,
B,39,2002,4,22,,,,0,,,NA,NA,O,Y,IK,Delete,,SR,TY,
B,64,2002,4,22,,,,0,,,NA,NA,O,N,IK,Keep,,SR,TY,
B,64,2002,4,22,,,,0,,,NA,NA,O,Y,IK,Delete,,SR,TY,
B,33,2002,5,28,,,,0,,,NA,NA,O,N,CD,Delete,,SS,ZM,
B,33,2002,5,28,,,,0,,,NA,NA,O,Y,CD,Keep,,SS,ZM,
B,64,2002,6,14,,,,0,,,NA,NA,O,N,CD,Delete,,"SS, CE",CE,
B,64,2002,6,14,FC,,,1,M,J,2,NA,C,N,CD,Keep,,"SS, CE",CE,Removed trap
B,29,2002,7,1,,,,0,,,NA,NA,O,N,CD,Keep,,CE,CE,
B,29,2002,7,1,,,,0,,,NA,NA,O,Y,CD,Delete,,CE,CE,
B,57,2002,7,24,,,,0,,,NA,NA,O,Y,CD,Delete,,CE,CE,
B,57,2002,7,24,RR,,,1,M,A,3,NA,C,N,CD,Keep,,CE,CE,
B,51,2002,7,29,,,,0,,,NA,NA,C,N,CD,Keep,,CE,CE,
